Row_Number,Name,Distance,Mass,Radius,Gravity
111,2MASS J02411151-0326587,152.0,5.518681388999999e+30,936390.688956,420056153.0152024
112,2MASS J02431371-2453298,35.0,6.745055030999999e+30,657465.802884,1041418677.9018877
113,LP 771-21,53.0,1.5942857346e+31,717235.4213280001,2068373207.499582
114,Teegarden's star,12.578,1.6351648559999995e+31,843415.7269320001,1534137751.0663304
115,2MASS J02535980+3206373,184.0,1.3285714455e+31,1261803.05604,556913783.2935165
116,WISE J0254+0223,24.0,1.3285714455e+31,1261803.05604,556913783.2935165
117,DEN 0255-4700,16.2,1.6351648559999995e+31,644183.665452,2629833966.090855
118,2MASS J03185403-3421292,45.0,1.0015384743e+31,644183.665452,1610773304.2306488
119,2MASS J03205965+1854233,47.0,1.7986813416e+31,763722.90234,2058111044.6611528
120,2MASS J03231002-4631237,192.0,4.701098961e+30,1102417.406856,258162686.48380736
121,SDSS J032553.17+042540.1,59.0,9.197802314999998e+30,630901.52802,1542222784.505123
122,2MASS J03264225-2102057,80.0,3.679120926e+30,863338.9330800001,329433387.6960646
123,2MASS J03284265+2302051,98.0,1.1037362777999998e+31,650824.7341679999,1739095455.6633153
124,2MASS J03341218-4953322,27.0,1.4920879310999998e+31,690671.146464,2087555321.33791
125,LP 944-20,20.9,1.4920879310999998e+31,949672.826388,1104161492.2779026
126,2MASP J0345432+254023,88.0,1.5125274918e+31,697312.21518,2076036254.233804
127,Teide 1,380.0,1.1241758384999998e+31,2510323.974648,119058635.70117952
128,2MASS J03510004-0052452,48.0,2.0848351914e+31,843415.7269320001,1956025632.609572
129,2MASS J03552337+1133437,29.8,4.0879121399999993e+30,876621.070512,355029094.7392799
130,2MASS J04151954-0935066,18.6,6.131868209999999e+30,630901.52802,1028148523.0034152
131,2MASS J04285096-2253227,85.0,1.6351648559999995e+31,723876.4900440001,2082662047.550614
132,2MASS J04351612-1606574,34.0,2.04395607e+31,836774.6582160001,1948232220.564756
133,2MASS J04362788-4114465,142.0,7.971428673e+30,1308290.537052,310823585.9243363
134,2MASS J04390101-2353083,29.5,9.810989136e+30,644183.665452,1577900379.6545131
135,2MASS J04433764+0002040,82.0,4.496703354e+30,1182110.231448,214765485.4630392
136,2MASS J04455387-3048204,42.0,1.3081318848e+31,664106.8716000001,1979528622.955908
137,2MASS J04510093-3402150,69.0,2.1257143128e+29,47815694.7552,6205.11962249875
138,2MASS J05002100+0330501,44.0,1.3081318848e+31,664106.8716000001,1979528622.955908
139,2MASS J05012406-0010452,64.0,4.292307747e+30,916467.482808,341069538.6512328
140,2MASS J05160945-0445499,73.0,9.606593529e+30,644183.665452,1545027455.0783772
141,2MASS J0523-1403,40.0,1.3898901275999998e+31,670747.940316,2061806844.319824
142,SDSS J053951.99-005902.0,41.62,1.2468132027e+31,670747.940316,1849562022.1104305
143,LSR 0602+3910,34.6,5.723076996e+30,936390.688956,435613788.31206185
144,2MASS J06085283-2753583,102.0,7.767033066e+30,1002801.376116,515479636.8054343
145,2MASS J06244595-4521548,39.0,1.1446153992e+31,657465.802884,1767255938.2577493
146,2MASS J06411840-4322329,65.0,1.3694505669e+31,670747.940316,2031486155.432768
147,DENIS-P J0652197-253450,51.0,1.5329670525e+31,697312.21518,2104090798.2099364
148,2MASS J07075327-4900503,60.0,1.4716483703999998e+31,684030.0777480002,2099132529.762839
149,UGPS J072227.51-054031.2,13.4,5.314285781999999e+30,650824.7341679999,837342256.430485
150,2MASSI J0727182+171001,29.6,8.380219886999999e+30,624260.459304,1435191856.135275
151,2MASS J07290002-3954043,25.8,7.562637458999999e+30,624260.459304,1295173138.4635406
152,SDSS J074201.41+205520.5,49.0,8.789011100999999e+30,624260.459304,1505201214.9711418
153,DENIS-P J0751164-253043,55.0,1.4512088096999998e+31,684030.0777480002,2069977911.2939107
154,2MASS J07522390+1612157,60.0,4.108351700699999e+29,45159267.268800005,13444.97638726405
155,DENIS J081730.0-615520,16.1,8.993406707999999e+30,624260.459304,1540205894.3890755
156,2MASS J08251968+2115521,35.0,1.0628571563999995e+31,650824.7341679999,1674684512.86097
157,SDSSp J083008.12+482847.4,43.0,9.810989136e+30,657465.802884,1514790804.2209277
158,LHS 2021,55.0,1.7986813416e+31,763722.90234,2058111044.6611528
159,SDSS J083048.80+012831.1,77.0,9.402197922e+30,637542.596736,1543821829.1553378
160,2MASSI J0835425-081923,23.53,1.2672527634e+31,664106.8716000001,1917668353.488536
161,2MASSI J0847287-153237,43.0,1.3081318848e+31,664106.8716000001,1979528622.955908
162,2MASS J08533619-0329321,27.6,1.5738461738999997e+31,710594.3526120001,2080199471.1274576
163,2MASSI J0859254-194926,50.0,1.021978035e+31,650824.7341679999,1610273570.0586257
164,2MASSI J0937347+293142,20.0,8.584615494e+30,624260.459304,1470196535.5532086
165,2MASS 0939-2448,17.4,6.540659424e+30,630901.52802,1096691757.8703094
166,2MASS J09490860-1545485,59.0,1.0015384743e+31,637542.596736,1644505861.4915557
167,2MASS J10073369-4555147,46.0,8.993406707999999e+30,624260.459304,1540205894.3890755
168,2MASSI J1010148-040649,55.0,1.0424175957e+31,650824.7341679999,1642479041.459798
169,2MASS J10224821+5825453,60.0,5.518681388999999e+30,936390.688956,420056153.0152024
170,2MASSW J1036530-344138,53.0,1.0015384743e+31,644183.665452,1610773304.2306488
171,2MASS J1047538+212423,34.4,8.584615494e+30,624260.459304,1470196535.5532086
172,DEN 1048-3956,13.15,1.5738461738999997e+31,710594.3526120001,2080199471.1274576
173,Luhman 16B,6.516,8.789011100999999e+30,677389.0090320001,1278350435.9366596
174,Luhman 16A,6.516,8.175824279999999e+30,670747.940316,1212827555.4822495
175,DENIS-P J1058.7-1548,49.0,1.3081318848e+31,664106.8716000001,1979528622.955908
176,TWA 28,180.0,7.358241851999999e+30,1587215.4231240002,194934411.23451936
177,Cha 110913-773444,163.0,1.635164856e+30,1195392.36888,76370703.04613845
178,SDSS J111010.01+011613.1,63.0,1.839560463e+30,823492.520784,181042672.088433
179,2MASS J11145133-2618235,18.2,6.745055030999999e+30,637542.596736,1107524355.698394
180,TWA 26,137.0,6.131868209999999e+30,1461035.11752,191715711.1592112
181,2MASS J11544223-3400390,129.0,7.562637458999999e+30,996160.3074,508628882.287282
182,2MASSW J1155395-372735,31.0,1.3081318848e+31,664106.8716000001,1979528622.955908
183,2MASS J12074836-3900043,217.0,3.4747253189999994e+30,1135622.750436,179820214.9285808
184,2MASSI J1217110-031113,36.0,8.584615494e+30,624260.459304,1470196535.5532086
185,2M 1237+6526,45.6,8.380219886999999e+30,624260.459304,1435191856.135275
186,TWA 29,262.0,4.08791214e+29,16602671.79,98976.43114779545
187,SDSSp J125453.90-012247.4,38.0,9.606593529e+30,650824.7341679999,1513657155.8551078
188,Kelu-1A,61.0,1.2876923240999997e+31,650824.7341679999,2028944698.273868
189,Kelu-1B,61.0,1.1854945205999998e+31,650824.7341679999,1867917341.268005
190,2MASS J13204427+0409045,101.0,1.3694505669e+31,670747.940316,2031486155.432768
191,SDSSp J132629.82-003831.5,65.0,1.0424175957e+31,644183.665452,1676519153.3829205
192,SDSSp J134646.45-003150.4,48.0,8.993406707999999e+30,624260.459304,1540205894.3890755
193,2MASS J13595510-4034582,51.0,1.2876923240999997e+31,664106.8716000001,1948598488.2222216
194,ULAS J141623.94+134836.3,29.7,6.540659424e+30,637542.596736,1073963011.5863218
195,SDSS J141659.78+500626.4,149.0,1.2059340812999998e+31,657465.802884,1861930363.5215569
196,DENIS-P J142527.97-365023.4,38.0,4.292307747e+30,876621.070512,372780549.476244
197,LHS 2924,38.5,1.5534066132e+31,703953.2838960001,2092105944.9627447
198,2MASS J14392837+1929150,47.0,1.4716483703999998e+31,684030.0777480002,2099132529.762839
199,LSPM J1440+1339,72.0,1.8804395844e+31,790287.177204,2009443115.2454765
200,2MASS J14482563+1031590,47.0,1.2059340812999998e+31,657465.802884,1861930363.5215569
201,CFBDSIR 1458+10A,104.0,2.2687912377e+30,996160.3074,152588664.6861846
202,CFBDSIR 1458+10B,104.0,1.839560463e+30,863338.9330800001,164716693.8480323
203,TVLM 513-46546,35.1,1.5329670525e+31,697312.21518,2104090798.2099364
204,2MASS 1503+2525,20.7,8.993406707999999e+30,624260.459304,1540205894.3890755
205,CFBDS J150411+102717,71.0,8.993406707999999e+30,624260.459304,1540205894.3890755
206,2MASSW J1506544+132106,46.0,1.4103296882999998e+31,677389.0090320001,2051306513.479756
207,2MASS 1507-1627,23.9,1.226373642e+31,657465.802884,1893488505.2761595
208,TVLM 868-110639,53.0,1.6147252952999995e+31,717235.4213280001,2094890812.7239356
209,2MASSW J1515008+484742,34.0,1.1650549598999998e+31,657465.802884,1798814080.0123515
210,2MASSI J1526140+204341,67.0,1.1037362777999998e+31,650824.7341679999,1739095455.6633153
211,DENIS-P J153941.96-052042.4,51.0,1.2876923240999997e+31,664106.8716000001,1948598488.2222216
212,2MASS J15462718-3325111,37.0,8.993406707999999e+30,624260.459304,1540205894.3890755
213,2MASSW J1552591+294849,68.0,6.131868209999999e+30,949672.826388,453764996.8265352
214,2MASSW J1555157-095605,44.0,1.4512088096999998e+31,684030.0777480002,2069977911.2939107
215,2MASS J16150413+1340079,48.0,8.584615494e+30,624260.459304,1470196535.5532086
216,SDSSp J162414.37+002915.6,36.0,8.789011100999999e+30,624260.459304,1505201214.9711418
217,2MASS J16262034+3925190,110.0,1.4512088096999998e+31,684030.0777480002,2069977911.2939107
218,2MASSW J1632291+190441,50.0,1.0015384743e+31,644183.665452,1610773304.2306488
219,WISEPA J164715.59+563208.2,28.0,8.380219886999999e+30,624260.459304,1435191856.135275
220,LSPM J1658+7027,60.0,1.4920879310999998e+31,690671.146464,2087555321.33791
221,2MASSI J1726000+153819,114.0,4.905494568e+30,929749.62024,378736343.67778856
222,SDSSp J175032.96+175903.9,90.0,9.606593529e+30,644183.665452,1545027455.0783772
223,2MASS J18283572-4849046,39.0,9.197802314999998e+30,630901.52802,1542222784.505123
224,LSR J1835+3259,18.5,1.5738461738999997e+31,710594.3526120001,2080199471.1274576
225,2MASSW J1841086+311727,138.0,1.3694505669e+31,670747.940316,2031486155.432768
226,2MASS J18432213+4040209,46.0,1.9621978272e+31,810210.3833519999,1994956284.89241
227,2MASS J20004841-7523070,105.0,5.109890175e+30,1248520.918608,218779246.36208457
228,SDSS J204749.61-071818.3,65.0,9.402197922e+30,637542.596736,1543821829.1553378
229,2MASSI J2057540-025230,47.0,1.4307692489999998e+31,677389.0090320001,2081035593.38526
230,2MASSI J2104149-103736,62.0,1.4103296882999998e+31,677389.0090320001,2051306513.479756
231,PSO J318.5-22,80.0,1.3285714454999997e+30,1016083.513548,85884008.61589962
232,HB 2124-4228,113.0,1.9213187058e+31,803569.3146360001,1985815630.740038
233,2MASS J21392676+0220226,32.1,9.402197922e+30,637542.596736,1543821829.1553378
234,2MASS J21481628+4003593,26.3,1.1241758384999998e+31,657465.802884,1735697796.5031462
235,2MASSW J2206450-421721,93.0,4.496703354e+30,883262.1392280001,384681420.1713457
236,2MASSW J2208136+292121,154.0,5.518681388999999e+30,936390.688956,420056153.0152024
237,2MASSW J2224438-015852,38.0,1.2468132027e+31,657465.802884,1925046647.0307624
238,2MASS J22282889-4310262,35.0,8.584615494e+30,624260.459304,1470196535.5532086
239,2MASS J22373255+3922398,64.0,1.4920879310999998e+31,690671.146464,2087555321.33791
240,2MASSW J2244316+204343,56.0,2.452747284e+30,856697.864364,223040452.37920365
241,2MASS J23224684-3133231,56.0,4.905494568e+30,923108.551524,384205389.7875191
242,2MASS J23225299-6151275,148.0,3.4747253189999994e+30,1055929.925844,207987140.7272905
243,2MASS J23515044-2537367,67.0,1.7986813416e+31,770363.971056,2022779322.654856
244,2MASSI J2356547-155310,74.0,1.6351648559999995e+31,723876.4900440001,2082662047.550614
245,WISE 0410+1502,20.0,1.226373642e+30,777005.0397719999,135569295.34817478
246,WISE 0458+6434A,35.9,3.065934105e+30,2789248.86072,26301134.977624204
247,WISE 0458+6434B,35.9,2.04395607e+30,2523606.11208,21419760.89590448
248,WISE 1405+5534,25.3,6.131868209999999e+30,571131.909576,1254602544.6330209
